,code,tropics,cover_cat,year,area,country,pixels,pixels_sub_25,cover_2000,loss
0,ABW,True,0,2001,170.49593624891048,Aruba,226867.0,0.0,0.0,0.0
20,ABW,True,1-25,2001,7.48060276118661,Aruba,9953.0,9953.0,0.46335469200998913,0.0
40,ABW,True,26-50,2001,0.25027993302386614,Aruba,333.0,0.0,0.07726296063944435,0.0
60,ABW,True,51-75,2001,0.04584389267292751,Aruba,61.0,0.0,0.02817536139018061,0.0
80,ABW,True,76-100,2001,0.11800135230930994,Aruba,157.0,0.0,0.09821194697800043,0.0
1,ABW,True,0,2002,170.49593624891048,Aruba,226867.0,0.0,0.0,0.0
21,ABW,True,1-25,2002,7.48060276118661,Aruba,9953.0,9953.0,0.46335469200998913,0.0
41,ABW,True,26-50,2002,0.25027993302386614,Aruba,333.0,0.0,0.07726296063944435,0.0
61,ABW,True,51-75,2002,0.04584389267292751,Aruba,61.0,0.0,0.02817536139018061,0.00162341825228125
81,ABW,True,76-100,2002,0.11800135230930994,Aruba,157.0,0.0,0.09821194697800043,0.002390034154117621
2,ABW,True,0,2003,170.49593624891048,Aruba,226867.0,0.0,0.0,0.0
22,ABW,True,1-25,2003,7.48060276118661,Aruba,9953.0,9953.0,0.46335469200998913,0.0
42,ABW,True,26-50,2003,0.25027993302386614,Aruba,333.0,0.0,0.07726296063944435,0.0003682761305340712
62,ABW,True,51-75,2003,0.04584389267292751,Aruba,61.0,0.0,0.02817536139018061,0.0038781683731171873
82,ABW,True,76-100,2003,0.11800135230930994,Aruba,157.0,0.0,0.09821194697800043,0.0025403513243573133
3,ABW,True,0,2004,170.49593624891048,Aruba,226867.0,0.0,0.0,0.0
23,ABW,True,1-25,2004,7.48060276118661,Aruba,9953.0,9953.0,0.46335469200998913,0.0
43,ABW,True,26-50,2004,0.25027993302386614,Aruba,333.0,0.0,0.07726296063944435,0.0
63,ABW,True,51-75,2004,0.04584389267292751,Aruba,61.0,0.0,0.02817536139018061,0.0
83,ABW,True,76-100,2004,0.11800135230930994,Aruba,157.0,0.0,0.09821194697800043,0.0
4,ABW,True,0,2005,170.49593624891048,Aruba,226867.0,0.0,0.0,0.0
24,ABW,True,1-25,2005,7.48060276118661,Aruba,9953.0,9953.0,0.46335469200998913,0.0
44,ABW,True,26-50,2005,0.25027993302386614,Aruba,333.0,0.0,0.07726296063944435,0.0
64,ABW,True,51-75,2005,0.04584389267292751,Aruba,61.0,0.0,0.02817536139018061,0.0
84,ABW,True,76-100,2005,0.11800135230930994,Aruba,157.0,0.0,0.09821194697800043,0.0
5,ABW,True,0,2006,170.49593624891048,Aruba,226867.0,0.0,0.0,0.0
25,ABW,True,1-25,2006,7.48060276118661,Aruba,9953.0,9953.0,0.46335469200998913,5.2605320400770404e-05
45,ABW,True,26-50,2006,0.25027993302386614,Aruba,333.0,0.0,0.07726296063944435,0.0
65,ABW,True,51-75,2006,0.04584389267292751,Aruba,61.0,0.0,0.02817536139018061,0.0
85,ABW,True,76-100,2006,0.11800135230930994,Aruba,157.0,0.0,0.09821194697800043,0.0020669648338729387
6,ABW,True,0,2007,170.49593624891048,Aruba,226867.0,0.0,0.0,0.0
26,ABW,True,1-25,2007,7.48060276118661,Aruba,9953.0,9953.0,0.46335469200998913,0.0
46,ABW,True,26-50,2007,0.25027993302386614,Aruba,333.0,0.0,0.07726296063944435,0.0
66,ABW,True,51-75,2007,0.04584389267292751,Aruba,61.0,0.0,0.02817536139018061,0.0
86,ABW,True,76-100,2007,0.11800135230930994,Aruba,157.0,0.0,0.09821194697800043,0.0
7,ABW,True,0,2008,170.49593624891048,Aruba,226867.0,0.0,0.0,0.0
27,ABW,True,1-25,2008,7.48060276118661,Aruba,9953.0,9953.0,0.46335469200998913,0.0
47,ABW,True,26-50,2008,0.25027993302386614,Aruba,333.0,0.0,0.07726296063944435,0.0
67,ABW,True,51-75,2008,0.04584389267292751,Aruba,61.0,0.0,0.02817536139018061,0.0
87,ABW,True,76-100,2008,0.11800135230930994,Aruba,157.0,0.0,0.09821194697800043,0.0
8,ABW,True,0,2009,170.49593624891048,Aruba,226867.0,0.0,0.0,0.0
28,ABW,True,1-25,2009,7.48060276118661,Aruba,9953.0,9953.0,0.46335469200998913,0.0
48,ABW,True,26-50,2009,0.25027993302386614,Aruba,333.0,0.0,0.07726296063944435,0.0
68,ABW,True,51-75,2009,0.04584389267292751,Aruba,61.0,0.0,0.02817536139018061,0.0005034847665088976
88,ABW,True,76-100,2009,0.11800135230930994,Aruba,157.0,0.0,0.09821194697800043,0.0025555260703267147
9,ABW,True,0,2010,170.49593624891048,Aruba,226867.0,0.0,0.0,0.0
29,ABW,True,1-25,2010,7.48060276118661,Aruba,9953.0,9953.0,0.46335469200998913,0.0
49,ABW,True,26-50,2010,0.25027993302386614,Aruba,333.0,0.0,0.07726296063944435,0.0
69,ABW,True,51-75,2010,0.04584389267292751,Aruba,61.0,0.0,0.02817536139018061,0.0
89,ABW,True,76-100,2010,0.11800135230930994,Aruba,157.0,0.0,0.09821194697800043,0.0
10,ABW,True,0,2011,170.49593624891048,Aruba,226867.0,0.0,0.0,0.0
30,ABW,True,1-25,2011,7.48060276118661,Aruba,9953.0,9953.0,0.46335469200998913,0.0
50,ABW,True,26-50,2011,0.25027993302386614,Aruba,333.0,0.0,0.07726296063944435,0.0
70,ABW,True,51-75,2011,0.04584389267292751,Aruba,61.0,0.0,0.02817536139018061,0.0
90,ABW,True,76-100,2011,0.11800135230930994,Aruba,157.0,0.0,0.09821194697800043,0.0
11,ABW,True,0,2012,170.49593624891048,Aruba,226867.0,0.0,0.0,0.0
31,ABW,True,1-25,2012,7.48060276118661,Aruba,9953.0,9953.0,0.46335469200998913,0.0
51,ABW,True,26-50,2012,0.25027993302386614,Aruba,333.0,0.0,0.07726296063944435,0.0006163324749222006
71,ABW,True,51-75,2012,0.04584389267292751,Aruba,61.0,0.0,0.02817536139018061,0.0
91,ABW,True,76-100,2012,0.11800135230930994,Aruba,157.0,0.0,0.09821194697800043,0.0
12,ABW,True,0,2013,170.49593624891048,Aruba,226867.0,0.0,0.0,0.0
32,ABW,True,1-25,2013,7.48060276118661,Aruba,9953.0,9953.0,0.46335469200998913,0.00015784020421777346
52,ABW,True,26-50,2013,0.25027993302386614,Aruba,333.0,0.0,0.07726296063944435,0.0
72,ABW,True,51-75,2013,0.04584389267292751,Aruba,61.0,0.0,0.02817536139018061,0.0
92,ABW,True,76-100,2013,0.11800135230930994,Aruba,157.0,0.0,0.09821194697800043,0.0
13,ABW,True,0,2014,170.49593624891048,Aruba,226867.0,0.0,0.0,0.0
33,ABW,True,1-25,2014,7.48060276118661,Aruba,9953.0,9953.0,0.46335469200998913,0.0007139676970732423
53,ABW,True,26-50,2014,0.25027993302386614,Aruba,333.0,0.0,0.07726296063944435,0.0004208656048330621
73,ABW,True,51-75,2014,0.04584389267292751,Aruba,61.0,0.0,0.02817536139018061,0.0
93,ABW,True,76-100,2014,0.11800135230930994,Aruba,157.0,0.0,0.09821194697800043,0.0
14,ABW,True,0,2015,170.49593624891048,Aruba,226867.0,0.0,0.0,0.0
34,ABW,True,1-25,2015,7.48060276118661,Aruba,9953.0,9953.0,0.46335469200998913,0.0
