,code,group,minx,miny,maxx,maxy,country,lat,long,tropics,cover_cat,pixels,area,cover_2000,loss_201,loss_202,loss_203,loss_204,loss_205,loss_206,loss_207,loss_208,loss_209,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016,loss_2017,loss_2018,loss_2019,loss_2020
0,ARG,1,-73.5605649998796,-55.06153099999989,-53.59183502099995,-21.77854728599988,Argentina,-20,-70,False,0,543004574,371686986968.2114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ARG,1,-73.5605649998796,-55.06153099999989,-53.59183502099995,-21.77854728599988,Argentina,-20,-70,False,1-25,34158133,23399052136.114758,2990434613.6024694,1495263559.5075064,691914523.2905095,2841930556.2017317,3325479114.538003,2128893107.6224933,1356405666.1000392,1684193233.106318,1793774780.53915,664120490.628358,874536012.3013327,1699754383.325216,978909223.5971254,1130762871.8078,856513001.681688,560236999.4918889,736430130.6460134,1018676210.4272724,560079385.6479666,492612035.510799,955475522.1785425
2,ARG,1,-73.5605649998796,-55.06153099999989,-53.59183502099995,-21.77854728599988,Argentina,-20,-70,False,26-50,176282164,121945166919.07063,53028297629.87256,17352977849.23126,11630221233.335657,48522681152.26868,77077873759.90607,57725321501.66418,42578253418.40442,76885725418.19211,77051225606.27507,40664110116.40712,47712247914.49042,62488013837.16631,51661752787.090324,48832078656.67486,34579539678.80293,24800955272.50172,34734921547.602,30699248229.9506,25105387275.63757,19480399604.170937,26099066593.00658
3,ARG,1,-73.5605649998796,-55.06153099999989,-53.59183502099995,-21.77854728599988,Argentina,-20,-70,False,51-75,115045023,79731700555.38712,45005765883.81808,18846151244.215736,10549022413.677687,28990036166.193504,62873381899.626205,54209838574.324524,47646407132.88234,69793406055.28969,100129756814.8895,53736039112.52634,87223763841.00993,115022597140.46349,96246338046.10287,68168036342.60293,43473214918.617065,29636709412.640625,40815812518.514496,49484794507.005974,38391540906.968925,31605283133.1098,39714098171.130775
4,ARG,1,-73.5605649998796,-55.06153099999989,-53.59183502099995,-21.77854728599988,Argentina,-20,-70,False,76-100,42521753,29579689639.068695,26441544532.849453,21025263961.29978,11763315426.861963,24755857130.992294,50360030222.94749,41358886152.60137,29728503254.150608,42200107853.332756,58033714729.186035,30172990575.216835,53235109224.25679,67317254488.70253,55789358908.31608,24857164973.696224,9001720749.805788,5785638056.317242,6098392136.554143,7832667252.398604,4380567122.986183,3473872788.1944737,9616167242.273106
5,ARG,1,-73.5605649998796,-55.06153099999989,-53.59183502099995,-21.77854728599988,Argentina,-20,-70,True,0,55655762,39551500823.70235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ARG,1,-73.5605649998796,-55.06153099999989,-53.59183502099995,-21.77854728599988,Argentina,-20,-70,True,1-25,2599569,1845411785.6838717,232844616.28806496,76867588.07604127,41487559.858758874,47276961.875482716,63344358.28569403,52282302.32130635,31467874.283029947,22393026.697952684,129107698.49117129,27152972.50106387,42400393.61341833,47448741.77672125,143736807.77533716,104177239.18758026,49523961.39266699,46419158.063651405,87380369.00035329,48698205.12917792,15489046.769849904,12457199.136724064,27662148.94945482
7,ARG,1,-73.5605649998796,-55.06153099999989,-53.59183502099995,-21.77854728599988,Argentina,-20,-70,True,26-50,19160096,13601765015.59751,5853551730.944557,1191192072.790685,1549739211.9650743,907958076.5029551,2126548028.836348,2206603414.3883038,1019162411.6825289,1109010219.1508088,8106503766.588499,3317703408.915818,2115538785.5509999,1322655693.5844152,5266338459.4171295,4384328674.396601,1706899452.081929,894278779.4639565,1841970406.122538,655378713.6332325,485363899.72013074,351921434.95983624,562923794.4556829
8,ARG,1,-73.5605649998796,-55.06153099999989,-53.59183502099995,-21.77854728599988,Argentina,-20,-70,True,51-75,8447772,6008462195.581015,3493086722.540419,1356030231.6143546,1782844995.8296888,1546854464.3164737,3957797384.16148,3845642338.081886,3636008852.422115,1669279069.9496658,16509932860.810358,3945799338.791935,5042613038.3113365,5498242573.990562,7292123373.226568,5686719671.28508,4687930061.5853615,1397569195.7372189,1914102698.6232808,1420428888.4640272,765707878.1521671,940448651.0191034,1588185305.3485708
9,ARG,1,-73.5605649998796,-55.06153099999989,-53.59183502099995,-21.77854728599988,Argentina,-20,-70,True,76-100,16858891,11987001151.870502,11047046209.85273,4566362600.311736,5066085568.921226,6229439827.909054,11448322975.253733,14760246702.332909,11326138459.078396,6551342668.909437,37111912919.32815,7455476488.679316,14424502442.494349,9394791952.905123,3927149841.902397,23455563774.134186,1923727081.2177632,1018945053.3021358,1681714510.379343,1177279185.9824986,601408797.7116958,1101188376.4494088,5327350086.1083555
10,BOL,1,-69.6390228279999,-22.898041571999897,-57.45384979199986,-9.669329641999925,"Bolivia, Plurinational State of",-20,-70,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,BOL,1,-69.6390228279999,-22.898041571999897,-57.45384979199986,-9.669329641999925,"Bolivia, Plurinational State of",-20,-70,False,1-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,BOL,1,-69.6390228279999,-22.898041571999897,-57.45384979199986,-9.669329641999925,"Bolivia, Plurinational State of",-20,-70,False,26-50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
