,code,country,cover_1982,gross_loss,gross_gain
3,AFG,Afghanistan,2,-1,0
4,AGO,Angola,390,-34,8
5,ARG,Argentina,456,-84,8
6,AUS,Australia,459,-38,29
7,BEN,Benin,12,0,3
8,BFA,Burkina Faso,5,0,1
9,BGD,Bangladesh,19,0,6
10,BGR,Bulgaria,26,0,13
11,BLR,Belarus,60,0,32
12,BOL,Bolivia,587,-43,8
13,BRA,Brazil,4856,-399,70
14,BWA,Botswana,13,-1,2
15,CAF,Central African Republic,234,0,48
16,CAN,Canada,3025,-122,157
17,CHL,Chile,158,-5,23
18,CHN,China,1079,-16,324
19,CIV,Cote d'Ivoire,100,-2,10
20,CMR,Cameroon,222,-1,18
0,COD,Democratic Republic of the Congo,1580,-52,20
2,COG,Republic of Congo,231,-4,3
21,COL,Colombia,707,-5,33
22,CUB,Cuba,24,0,18
23,DEU,Germany,103,0,29
24,DZA,Algeria,8,0,2
25,ECU,Ecuador,150,-1,3
26,EGY,Egypt,3,0,1
27,ERI,Eritrea,0,0,0
28,ESH,Western Sahara,0,0,0
29,ESP,Spain,70,-1,14
30,ETH,Ethiopia,114,-6,10
31,FIN,Finland,153,-1,21
32,FRA,France,154,-3,25
33,GAB,Gabon,203,-2,3
34,GBR,United Kingdom,64,-1,5
35,GHA,Ghana,55,-2,5
36,GIN,Guinea,53,0,14
37,GRC,Greece,18,0,11
38,GTM,Guatemala,60,-6,8
39,GUY,Guyana,172,0,5
40,HND,Honduras,62,-2,8
41,IDN,Indonesia,1295,-25,68
42,IND,India,280,-4,56
43,IRN,Iran,14,0,3
44,IRQ,Iraq,1,0,0
45,ISL,Iceland,5,0,1
46,ITA,Italy,64,-1,22
47,JPN,Japan,167,-1,45
48,KAZ,Kazakhstan,49,-2,7
49,KEN,Kenya,38,-2,5
50,KGZ,Kyrgyzstan,6,0,1
51,KHM,Cambodia,74,-8,2
52,KOR,South Korea,29,0,13
1,LAO,Laos,143,-2,15
53,LBY,Libya,2,0,0
54,MAR,Morocco,4,0,1
55,MDG,Madagascar,155,-20,2
56,MEX,Mexico,362,-9,63
57,MLI,Mali,10,0,5
58,MMR,Myanmar,320,-10,19
59,MNG,Mongolia,49,-7,2
60,MOZ,Mozambique,232,-47,1
61,MRT,Mauritania,1,0,0
62,MWI,Malawi,22,-4,0
63,MYS,Malaysia,243,-2,16
64,NAM,Namibia,8,0,1
65,NER,Niger,1,0,0
66,NGA,Nigeria,88,-2,14
67,NIC,Nicaragua,63,-4,6
68,NOR,Norway,91,-1,15
69,NPL,Nepal,25,0,9
70,NZL,New Zealand,123,-1,20
71,OMN,Oman,0,0,0
72,PAK,Pakistan,10,-1,1
73,PER,Peru,716,-3,13
74,PHL,Philippines,140,-1,38
75,PNG,Papua New Guinea,352,-2,14
76,POL,Poland,72,0,31
77,PRK,North Korea,49,-2,4
78,PRY,Paraguay,235,-74,0
79,ROU,Romania,53,0,33
80,RUS,Russia,4936,-90,790
81,SAU,Saudi Arabia,2,0,0
82,SDN,Sudan,10,0,4
83,SEN,Senegal,6,0,4
84,SOM,Somalia,9,-1,0
85,SSD,South Sudan,89,0,37
86,SUR,Suriname,136,0,1
87,SWE,Sweden,212,-1,27
88,SYR,Syria,1,0,0
89,TCD,Chad,22,0,8
90,THA,Thailand,131,-2,30
91,TJK,Tajikistan,1,0,0
92,TKM,Turkmenistan,1,0,0
93,TUN,Tunisia,1,0,0
94,TUR,Turkey,59,-1,20
95,TZA,Tanzania,222,-33,5
96,UGA,Uganda,66,-4,5
97,UKR,Ukraine,91,-1,34
98,URY,Uruguay,52,-2,4
99,USA,United States,2201,-61,301
100,UZB,Uzbekistan,2,0,0
101,VEN,Venezuela,501,-5,23
102,VNM,Vietnam,131,-6,12
103,YEM,Yemen,1,0,0
104,ZAF,South Africa,77,-7,3
105,ZMB,Zambia,215,-37,2
106,ZWE,Zimbabwe,31,-2,2
